Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
1,Air Force,1957,2023,67,779,427,340,12,.556,30,16,13,1,.550,1.35,-0.84,7,3,
2,Akron,1975,2023,38,437,157,277,3,.363,3,1,2,0,.333,-12.18,-6.66,0,1,
3,Alabama,1902,2023,120,1332,979,311,42,.751,77,46,28,3,.617,13.85,4.29,61,30,record adjusted to 950-320-41 by NCAA
4,Alameda Coast Guard,1943,1944,2,15,8,4,3,.633,0,0,0,0,,-0.16,-5.13,0,0,
5,Alcorn State,1977,1977,1,11,3,8,0,.273,0,0,0,0,,-17.10,-9.19,0,0,
6,Amarillo Field,1944,1944,1,8,5,3,0,.625,0,0,0,0,,5.10,-1.78,0,0,
7,Amherst,1877,1906,25,239,108,109,22,.498,0,0,0,0,,-1.08,-0.09,0,0,
8,Appalachian State,1972,2023,20,240,144,91,5,.610,8,7,1,0,.875,-0.90,-6.16,1,4,
9,Arizona,1931,2023,90,986,506,456,23,.525,21,10,10,1,.500,1.41,0.68,8,6,
10,Arizona State,1931,2023,90,997,592,381,18,.606,33,15,17,1,.470,3.39,-1.20,17,17,record adjusted to 587-386-18 by NCAA
11,Arkansas,1906,2023,118,1261,706,516,37,.575,44,17,24,3,.420,6.43,3.10,29,14,record adjusted to 707-515-37 by NCAA
12,Arkansas State,1974,2023,42,492,216,274,2,.441,11,4,7,0,.364,-9.04,-6.56,0,7,record adjusted to 206-274-2 by NCAA
13,Army,1891,2023,130,1303,713,538,51,.567,10,7,3,0,.700,3.28,-0.31,15,0,
14,Auburn,1902,2023,121,1280,773,461,43,.622,47,24,21,2,.532,8.84,4.59,40,8,record adjusted to 776-459-42 by NCAA
15,Ball State,1975,2023,49,564,273,287,4,.488,9,1,8,0,.111,-7.92,-7.09,1,6,
16,Bates,1901,1905,3,21,10,8,3,.548,0,0,0,0,,-0.94,-1.28,0,0,
17,Baylor,1903,2023,118,1254,618,593,41,.510,27,14,13,0,.519,2.78,2.70,16,9,record adjusted to 618-593-40 by NCAA
18,Beloit,1894,1905,9,85,39,36,10,.518,0,0,0,0,,-1.30,-1.39,0,0,
19,Birmingham-Southern,1920,1924,4,36,16,17,3,.486,0,0,0,0,,-5.29,-4.68,0,0,
20,Boise State,1996,2023,28,356,271,85,0,.761,21,13,8,0,.619,5.96,-4.03,13,15,record adjusted to 272-84-0 by NCAA
21,Boston College,1901,2023,89,967,528,423,14,.554,28,15,13,0,.536,1.79,0.00,14,1,
22,Boston University,1923,1964,20,170,73,90,7,.450,0,0,0,0,,-6.91,-4.99,1,0,
23,Bowdoin,1896,1905,7,66,33,30,3,.523,0,0,0,0,,-2.71,-2.47,0,0,
24,Bowling Green,1962,2023,62,697,372,314,11,.542,14,5,9,0,.357,-5.41,-6.42,1,9,
25,Bradley,1949,1951,3,29,14,15,0,.483,0,0,0,0,,-12.91,-12.75,0,0,
26,Brown,1878,1981,93,858,431,392,35,.523,1,0,1,0,.000,-2.89,-3.54,0,1,
27,Bucknell,1888,1946,40,357,168,157,32,.515,1,1,0,0,1.000,-2.93,-2.85,0,0,
28,Buffalo,1962,2023,34,384,149,230,4,.394,6,3,3,0,.500,-10.06,-7.09,1,1,
29,Butler,1932,1933,2,15,4,10,1,.300,0,0,0,0,,-16.48,-10.26,0,0,
30,BYU,1922,2023,99,1086,616,443,26,.580,40,17,22,1,.438,-0.73,-3.05,19,23,
